Mitgliedsnummer;DATUM;FAELLIG;BRUTTO;ZAHLUNG;MEMO;BEZAHLT
543;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
554;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
575;30.3.1999 00:00:00;31.5.1999 00:00:00;14,53;0,00;BEITRAG 1999;0
582;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
583;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
609;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
613;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
630;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
709;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
757;30.3.1999 00:00:00;31.5.1999 00:00:00;21,80;0,00;BEITRAG 1999;0
51;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
69;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
77;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
1;;31.5.2006 00:00:00;45,00;0,00;BEITRAG 2006;0
1024;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
111;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;1
125;21.2.2000 00:00:00;31.5.2000 00:00:00;14,53;0,00;BEITRAG 2000;0
133;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
179;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
212;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
237;21.2.2000 00:00:00;31.5.2000 00:00:00;14,53;0,00;BEITRAG 2000;0
246;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
256;21.2.2000 00:00:00;31.5.2000 00:00:00;14,53;0,00;BEITRAG 2000;0
261;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
315;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
373;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
386;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
439;21.2.2000 00:00:00;31.5.2000 00:00:00;14,53;0,00;BEITRAG 2000;0
474;21.2.2000 00:00:00;31.5.2000 00:00:00;14,53;0,00;BEITRAG 2000;0
506;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
523;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
554;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
575;21.2.2000 00:00:00;31.5.2000 00:00:00;14,53;0,00;BEITRAG 2000;0
582;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
583;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
609;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
613;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
630;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
709;21.2.2000 00:00:00;31.5.2000 00:00:00;36,34;0,00;BEITRAG 2000;0
757;21.2.2000 00:00:00;31.5.2000 00:00:00;21,80;0,00;BEITRAG 2000;0
790;21.2.2000 00:00:00;31.5.2000 00:00:00;21,80;0,00;BEITRAG 2000;0
798;21.2.2000 00:00:00;31.5.2000 00:00:00;21,80;0,00;BEITRAG 2000;0
67;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
69;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
77;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
111;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;1
125;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
133;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
1026;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
1027;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
1028;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
151;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
179;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
212;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
222;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
237;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
246;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
256;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
261;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
276;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
293;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
305;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
315;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
341;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
373;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
386;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
439;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
474;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
488;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
506;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
523;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
543;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
51;;31.5.2003 00:00:00;45,00;0,00;BEITRAG 2003;0
554;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
575;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
582;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
583;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
212;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
220;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
243;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
62;;31.5.2006 00:00:00;26,00;26,00;BEITRAG 2006;1
63;;31.5.2006 00:00:00;45,00;45,00;BEITRAG 2006;1
64;;31.5.2006 00:00:00;45,00;0,00;BEITRAG 2006;0
1029;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
1030;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
1031;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
1032;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
246;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
256;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
261;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
276;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
293;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
